[2026-03-06T05:46:00.393527][INFO] 配置已更新: console_log=error retry_mode=polling
[2026-03-06T05:52:34.416747][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 369ms
[2026-03-06T05:52:34.440397][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 424ms
[2026-03-06T05:52:44.224406][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 167ms
[2026-03-06T05:52:44.226517][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 203ms
[2026-03-06T05:52:44.226919][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 170ms
[2026-03-06T05:52:44.245853][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 207ms
[2026-03-06T05:52:44.267405][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (23.175.184.30) 213ms
[2026-03-06T05:52:44.296266][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 227ms
[2026-03-06T05:52:44.304828][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 267ms
[2026-03-06T05:52:44.306641][DEBUG] ✓ UDP://tracker.srv00.com:6969 (147.45.77.75) 250ms
[2026-03-06T05:52:44.342822][DEBUG] ✓ UDP://tracker.waaa.moe:6969 (216.144.239.90) 304ms
[2026-03-06T05:52:44.344492][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 275ms
[2026-03-06T05:52:44.351922][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (2605:6400:30:fad6::dead:c0d3) 299ms
[2026-03-06T05:52:44.384933][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 315ms
[2026-03-06T05:52:44.424590][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 369ms
[2026-03-06T05:52:44.427380][INFO] 轮检完成 | 总:113 [v4:83 v6:30] | 在线:113 [v4:83 v6:30]
[2026-03-06T05:53:14.449674][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T05:53:14.464052][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T05:53:14.491153][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 17ms
[2026-03-06T05:53:14.499982][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 43ms
[2026-03-06T05:53:14.604706][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 155ms
[2026-03-06T05:53:14.612204][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 165ms
[2026-03-06T05:53:14.613319][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 165ms
[2026-03-06T05:53:14.614129][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 165ms
[2026-03-06T05:53:14.614695][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 166ms
[2026-03-06T05:53:14.616352][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 169ms
[2026-03-06T05:53:14.617147][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 162ms
[2026-03-06T05:53:14.617721][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 167ms
[2026-03-06T05:53:14.619276][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 172ms
[2026-03-06T05:53:14.619640][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 165ms
[2026-03-06T05:53:14.621280][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 174ms
[2026-03-06T05:53:14.621636][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 165ms
[2026-03-06T05:53:14.621948][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 166ms
[2026-03-06T05:53:14.623159][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (104.21.53.179) 161ms
[2026-03-06T05:53:14.623937][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 169ms
[2026-03-06T05:53:14.624277][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 176ms
[2026-03-06T05:53:14.624567][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 176ms
[2026-03-06T05:53:14.625008][DEBUG] ✓ UDP://tracker.fnix.net:6969 (5.255.124.190) 176ms
[2026-03-06T05:53:14.625055][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 169ms
[2026-03-06T05:53:14.626858][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 171ms
[2026-03-06T05:53:14.627224][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 172ms
[2026-03-06T05:53:14.627284][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 169ms
[2026-03-06T05:53:14.627321][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.121) 173ms
[2026-03-06T05:53:14.628261][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 178ms
[2026-03-06T05:53:14.628301][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 172ms
[2026-03-06T05:53:14.628824][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 180ms
[2026-03-06T05:53:14.629166][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.67.187.230) 166ms
[2026-03-06T05:53:14.629444][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 178ms
[2026-03-06T05:53:14.629728][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.140.230) 166ms
[2026-03-06T05:53:14.630343][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 180ms
[2026-03-06T05:53:14.630670][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 177ms
[2026-03-06T05:53:14.630959][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (104.21.18.88) 172ms
[2026-03-06T05:53:14.631008][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 177ms
[2026-03-06T05:53:14.631603][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 177ms
[2026-03-06T05:53:14.632428][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 177ms
[2026-03-06T05:53:14.632709][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 184ms
[2026-03-06T05:53:14.632755][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.132.230) 169ms
[2026-03-06T05:53:14.632793][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 178ms
[2026-03-06T05:53:14.633700][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 177ms
[2026-03-06T05:53:14.633747][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3034::ac43:d819) 171ms
[2026-03-06T05:53:14.633781][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::ac43:b584) 176ms
[2026-03-06T05:53:14.634591][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (89.234.156.205) 182ms
[2026-03-06T05:53:14.634634][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3035::6815:35b3) 171ms
[2026-03-06T05:53:14.635186][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.52) 181ms
[2026-03-06T05:53:14.635235][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3036::6815:3985) 172ms
[2026-03-06T05:53:14.636112][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 180ms
[2026-03-06T05:53:14.638067][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 158ms
[2026-03-06T05:53:14.643143][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (2605:6400:20:6c::) 184ms
[2026-03-06T05:53:14.643497][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (104.21.56.230) 180ms
[2026-03-06T05:53:14.643864][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (172.67.216.25) 181ms
[2026-03-06T05:53:14.644547][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 185ms
[2026-03-06T05:53:14.647167][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 173ms
[2026-03-06T05:53:14.652769][DEBUG] ✓ TCP://lucke.fenesisu.moe:6969 (207.211.184.229) 199ms
[2026-03-06T05:53:14.653105][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 197ms
[2026-03-06T05:53:14.660322][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3035::ac43:a410) 181ms
[2026-03-06T05:53:14.666838][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 195ms
[2026-03-06T05:53:14.668491][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 198ms
[2026-03-06T05:53:14.669235][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 193ms
[2026-03-06T05:53:14.673355][DEBUG] ✓ UDP://tracker.playground.ru:6969 (212.42.38.197) 214ms
[2026-03-06T05:53:14.679332][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 196ms
[2026-03-06T05:53:14.679679][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 229ms
[2026-03-06T05:53:14.682374][DEBUG] ✓ UDP://bandito.byterunner.io:6969 (103.251.166.126) 190ms
[2026-03-06T05:53:14.682877][DEBUG] ✓ UDP://2001:41d0:2:52b1::1:6969 (2001:41d0:2:52b1::1) 224ms
[2026-03-06T05:53:14.689886][DEBUG] ✓ UDP://176.123.1.180:6969 (176.123.1.180) 234ms
[2026-03-06T05:53:14.690542][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 214ms
[2026-03-06T05:53:14.698868][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 209ms
[2026-03-06T05:53:14.704037][DEBUG] ✓ UDP://tracker.1h.is:1337 (107.189.4.235) 215ms
[2026-03-06T05:53:14.707432][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (2a03:7220:8083:cd00::1) 257ms
[2026-03-06T05:53:14.712336][DEBUG] ✓ UDP://tracker.therarbg.to:6969 (84.54.51.78) 240ms
[2026-03-06T05:53:14.716885][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 264ms
[2026-03-06T05:53:14.719447][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 266ms
[2026-03-06T05:53:14.720376][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (2600:1900:4001:4b5:8000::) 251ms
[2026-03-06T05:53:14.720920][DEBUG] ✓ TCP://ttk2.nbaonlineservice.com:80 (54.39.48.3) 269ms
[2026-03-06T05:53:14.721244][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 259ms
[2026-03-06T05:53:14.721296][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 272ms
[2026-03-06T05:53:14.722131][DEBUG] ✓ TCP://sukebei.tracker.wf:8888 (195.16.73.66) 276ms
[2026-03-06T05:53:14.728900][DEBUG] ✓ UDP://tracker.riverarmy.xyz:6969 (18.232.197.8) 253ms
[2026-03-06T05:53:14.735932][DEBUG] ✓ UDP://evan.im:6969 (74.119.150.221) 261ms
[2026-03-06T05:53:14.737733][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (173.201.36.219) 260ms
[2026-03-06T05:53:14.738584][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 281ms
[2026-03-06T05:53:14.740726][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 263ms
[2026-03-06T05:53:14.741444][DEBUG] ✓ UDP://ns575949.ip-51-222-82.net:6969 (51.222.82.36) 270ms
[2026-03-06T05:53:14.744645][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (82.67.183.86) 262ms
[2026-03-06T05:53:14.751044][DEBUG] ✓ TCP://tracker.dhitechnical.com:6969 (140.235.237.23) 294ms
[2026-03-06T05:53:14.753307][DEBUG] ✓ TCP://tracker.mywaifu.best:6969 (95.217.167.10) 304ms
[2026-03-06T05:53:14.756183][DEBUG] ✓ UDP://2a03:94e0:ffff:185:243:218:0:213:80 (2a03:94e0:ffff:185:243:218:0:213) 294ms
[2026-03-06T05:53:14.767478][DEBUG] ✓ UDP://tracker.qu.ax:6969 (2406:4fc0:1002::137) 292ms
[2026-03-06T05:53:14.798417][DEBUG] ✓ UDP://open.demonii.com:1337 (2a06:1280:f115::2) 309ms
[2026-03-06T05:53:14.811291][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 314ms
[2026-03-06T05:53:14.817425][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (2605:6400:30:fad6::dead:c0d3) 320ms
[2026-03-06T05:53:14.855203][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 358ms
[2026-03-06T05:53:14.861543][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 408ms
[2026-03-06T05:53:24.529409][DEBUG] ✓ UDP://speedtest.iperson.xyz:6969 (240e:355:7f1f:d900:e2e1:a9ff:fe1a:1f93) 40ms
[2026-03-06T05:53:24.711962][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 222ms
[2026-03-06T05:53:24.744227][DEBUG] ✓ UDP://51.81.222.188:6969 (51.81.222.188) 270ms
[2026-03-06T05:53:24.758769][DEBUG] ✓ UDP://tracker.qu.ax:6969 (43.250.54.137) 254ms
[2026-03-06T05:53:24.765086][DEBUG] ✓ UDP://tracker.1h.is:1337 (2605:6400:30:f922:35d4:58f4:75eb:1337) 292ms
[2026-03-06T05:53:24.766967][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (2a00:16b0:242:25::14) 278ms
[2026-03-06T05:53:24.841302][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (2a01:e0a:ebd:2640:ba27:ebff:fe2c:db88) 353ms
[2026-03-06T05:53:29.518069][ERROR] ✗ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 离线 | 超时(>5s)
[2026-03-06T05:53:34.672450][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 183ms
[2026-03-06T05:53:34.677514][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 186ms
[2026-03-06T05:53:34.709029][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (23.175.184.30) 218ms
[2026-03-06T05:53:34.764468][DEBUG] ✓ UDP://tracker.t-1.org:6969 (2605:6400:30:f8f3:1f:b20a:a8c1:1337) 274ms
[2026-03-06T05:53:34.773019][DEBUG] ✓ UDP://tracker.waaa.moe:6969 (216.144.239.90) 284ms
[2026-03-06T05:53:34.919692][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 415ms
[2026-03-06T05:53:39.512351][ERROR] ✗ UDP://tracker.srv00.com:6969 (147.45.77.75) 离线 | 超时(>5s)
[2026-03-06T05:53:39.779345][INFO] 手动重试: UDP://tracker.iperson.xyz:6969 IP:120.78.150.131
[2026-03-06T05:53:39.802474][INFO] 重试结果: UDP://tracker.iperson.xyz:6969 (120.78.150.131) → online 20ms
[2026-03-06T05:53:49.736683][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (2602:f93b:131:a:be24:11ff:fe79:fff7) 232ms
[2026-03-06T05:53:54.509532][ERROR] ✗ UDP://tracker.srv00.com:6969 (91.186.213.204) 离线 | 超时(>5s)
[2026-03-06T05:53:54.512608][INFO] 轮检完成 | 总:113 [v4:83 v6:30] | 在线:111 [v4:81 v6:30]
[2026-03-06T05:54:35.661838][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 14ms
[2026-03-06T05:54:35.712391][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 58ms
[2026-03-06T05:54:35.712982][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 36ms
[2026-03-06T05:54:35.799239][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 152ms
[2026-03-06T05:54:35.811655][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.137) 156ms
[2026-03-06T05:54:35.812243][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 167ms
[2026-03-06T05:54:35.812624][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 158ms
[2026-03-06T05:54:35.814076][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 169ms
[2026-03-06T05:54:35.814628][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 169ms
[2026-03-06T05:54:35.814979][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T05:54:35.815433][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 161ms
[2026-03-06T05:54:35.815802][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 170ms
[2026-03-06T05:54:35.816127][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.25) 160ms
[2026-03-06T05:54:35.817398][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 165ms
[2026-03-06T05:54:35.817728][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 171ms
[2026-03-06T05:54:35.818269][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 170ms
[2026-03-06T05:54:35.819155][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 165ms
[2026-03-06T05:54:35.819627][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 165ms
[2026-03-06T05:54:35.819921][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 168ms
[2026-03-06T05:54:35.820222][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 172ms
[2026-03-06T05:54:35.820787][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 176ms
[2026-03-06T05:54:35.821664][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 169ms
[2026-03-06T05:54:35.821958][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 176ms
[2026-03-06T05:54:35.822357][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 169ms
[2026-03-06T05:54:35.822665][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 177ms
[2026-03-06T05:54:35.822723][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 177ms
[2026-03-06T05:54:35.823293][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.240) 167ms
[2026-03-06T05:54:35.823348][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 174ms
[2026-03-06T05:54:35.823392][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 177ms
[2026-03-06T05:54:35.824221][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 169ms
[2026-03-06T05:54:35.824273][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 169ms
[2026-03-06T05:54:35.824829][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 179ms
[2026-03-06T05:54:35.824873][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 177ms
[2026-03-06T05:54:35.825439][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.212) 168ms
[2026-03-06T05:54:35.826630][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.230) 171ms
[2026-03-06T05:54:35.826953][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.52) 175ms
[2026-03-06T05:54:35.828711][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.161) 173ms
[2026-03-06T05:54:35.829223][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.22) 174ms
[2026-03-06T05:54:35.829554][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 176ms
[2026-03-06T05:54:35.829601][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 184ms
[2026-03-06T05:54:35.830221][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 171ms
[2026-03-06T05:54:35.830504][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 176ms
[2026-03-06T05:54:35.830553][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 178ms
[2026-03-06T05:54:35.831081][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.29) 175ms
[2026-03-06T05:54:35.832878][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 179ms
[2026-03-06T05:54:35.833730][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::ac43:b584) 175ms
[2026-03-06T05:54:35.834016][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.23) 177ms
[2026-03-06T05:54:35.834068][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.72) 178ms
[2026-03-06T05:54:35.834620][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.121) 182ms
[2026-03-06T05:54:35.834664][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.195) 178ms
[2026-03-06T05:54:35.835285][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (104.21.18.88) 176ms
[2026-03-06T05:54:35.835341][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 176ms
[2026-03-06T05:54:35.836124][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.104) 179ms
[2026-03-06T05:54:35.836464][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 181ms
[2026-03-06T05:54:35.836841][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 183ms
[2026-03-06T05:54:35.837143][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.38) 180ms
[2026-03-06T05:54:35.838294][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 184ms
[2026-03-06T05:54:35.838635][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (172.67.216.25) 175ms
[2026-03-06T05:54:35.839254][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (104.21.53.179) 175ms
[2026-03-06T05:54:35.839609][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3035::6815:35b3) 176ms
[2026-03-06T05:54:35.839888][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.243) 183ms
[2026-03-06T05:54:35.841922][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.91) 186ms
[2026-03-06T05:54:35.842572][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3034::ac43:d819) 179ms
[2026-03-06T05:54:35.843244][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (89.234.156.205) 193ms
[2026-03-06T05:54:35.852297][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 191ms
[2026-03-06T05:54:35.853515][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 206ms
[2026-03-06T05:54:35.854179][DEBUG] ✓ TCP://lucke.fenesisu.moe:6969 (207.211.184.229) 202ms
[2026-03-06T05:54:35.858808][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 191ms
[2026-03-06T05:54:35.861899][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 185ms
[2026-03-06T05:54:35.866800][DEBUG] ✓ UDP://tracker.1h.is:1337 (107.189.4.235) 201ms
[2026-03-06T05:54:35.873889][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 176ms
[2026-03-06T05:54:35.876004][DEBUG] ✓ UDP://tracker.fnix.net:6969 (5.255.124.190) 230ms
[2026-03-06T05:54:35.879697][DEBUG] ✓ UDP://tracker.playground.ru:6969 (212.42.38.197) 219ms
[2026-03-06T05:54:35.880607][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (2605:6400:20:6c::) 221ms
[2026-03-06T05:54:35.881628][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 229ms
[2026-03-06T05:54:35.882768][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (104.21.56.230) 169ms
[2026-03-06T05:54:35.890903][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.140.230) 177ms
[2026-03-06T05:54:35.891936][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 204ms
[2026-03-06T05:54:35.905965][DEBUG] ✓ TCP://tracker.mywaifu.best:6969 (95.217.167.10) 260ms
[2026-03-06T05:54:35.907433][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 229ms
[2026-03-06T05:54:35.910139][DEBUG] ✓ TCP://sukebei.tracker.wf:8888 (195.16.73.66) 266ms
[2026-03-06T05:54:35.912289][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 247ms
[2026-03-06T05:54:35.915557][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 225ms
[2026-03-06T05:54:35.923613][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 271ms
[2026-03-06T05:54:35.925606][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 236ms
[2026-03-06T05:54:35.926931][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (2600:1900:4001:4b5:8000::) 261ms
[2026-03-06T05:54:35.928992][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 262ms
[2026-03-06T05:54:35.929443][DEBUG] ✓ UDP://2a03:94e0:ffff:185:243:218:0:213:80 (2a03:94e0:ffff:185:243:218:0:213) 262ms
[2026-03-06T05:54:35.929784][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (2a03:7220:8083:cd00::1) 283ms
[2026-03-06T05:54:35.931194][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 280ms
[2026-03-06T05:54:35.934361][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 252ms
[2026-03-06T05:54:35.935705][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 254ms
